X,a - Copy.txt,X,a.txt,X,cdtest.txt,X,cdtestBL.txt
196.6,-0.048665316,196.6,-0.037932253,,,,
196.4,-0.046742485,196.4,-0.036393988,,,,
196.2,-0.04463204,196.2,-0.034705632,,,,
196,-0.043740666,196,-0.033992533,,,,
195.8,-0.041868282,195.8,-0.032494625,,,,
195.6,-0.040686149,195.6,-0.031548919,,,,
195.4,-0.038713579,195.4,-0.029970863,,,,
195.2,-0.037416668,195.2,-0.028933335,,,,
195,-0.03696502,195,-0.028572016,,,,
194.8,-0.034797873,194.8,-0.026838299,,,,
194.6,-0.034625477,194.6,-0.026700382,,,,
194.4,-0.031704124,194.4,-0.024363299,,,,
194.2,-0.029327851,194.2,-0.022462281,,,,
194,-0.028684336,194,-0.021947469,,,,
193.8,-0.028041739,193.8,-0.021433391,,,,
193.6,-0.026391114,193.6,-0.020112891,,,,
193.4,-0.024639761,193.4,-0.018711809,,,,
193.2,-0.023485853,193.2,-0.017788683,,,,
193,-0.024314939,193,-0.018451951,,,,
192.8,-0.023897936,192.8,-0.018118349,,,,
192.6,-0.024068081,192.6,-0.018254465,,,,
192.4,-0.023377204,192.4,-0.017701763,,,,
192.2,-0.020407572,192.2,-0.015326058,,,,
192,-0.016647669,192,-0.012318135,,,,
191.8,-0.014379587,191.8,-0.010503669,,,,
191.6,-0.013739824,191.6,-0.009991859,,,,
191.4,-0.01109764,191.4,-0.007878112,,,,
191.2,-0.009614408,191.2,-0.006691526,,,,
191,-0.009520685,191,-0.006616548,,,,
190.8,-0.005918419,190.8,-0.003734735,,,,
190.6,-0.004103836,190.6,-0.002283069,,,,
190.4,-0.004123652,190.4,-0.002298922,,,,
190.2,-0.003952036,190.2,-0.002161629,,,,
190,-0.005127523,190,-0.003102018,,,,
